# DEGENERATE GEOMETRY CSV FILE

# NUMBER OF COMPONENTS
6

# DegenGeom Type, Name, SurfNdx, GeomID, MainSurfNdx, SymCopyNdx, FlipNormal,t00,t01,t02,t03,t10,t11,t12,t13,t20,t21,t22,t23,t30,t31,t32,t33
LIFTING_SURFACE,V Tail,0,PSBOOWWNBW,0,0,1,1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, 6.123233995736766036e-17, 1.000000000000000000e+00, 0.000000000000000000e+00, 0.000000000000000000e+00, -1.000000000000000000e+00, 6.123233995736766036e-17, 0.000000000000000000e+00, 7.500000000000000000e+00, 0.000000000000000000e+00, 3.260869565217383581e-01, 1.000000000000000000e+00
# DegenGeom Type,nXsecs, nPnts/Xsec
SURFACE_NODE,6,33
# x,y,z,u,w
9.000000000000000000e+00, 0.000000000000000000e+00, 3.260869565217383581e-01, 1.000000000000000000e+00, 0.000000000000000000e+00
8.971362128321045404e+00, 3.315668636273211983e-03, 3.260869565217383581e-01, 1.000000000000000000e+00, 4.173311976788848798e-02
8.930196576317214863e+00, 7.968575505830053501e-03, 3.260869565217383581e-01, 1.000000000000000000e+00, 9.595583006934514658e-02
8.872242485875275975e+00, 1.429918029345177144e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 1.722603643809275942e-01
8.793002028707002538e+00, 2.255563470403128615e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 2.765358755368439447e-01
8.688878731264196631e+00, 3.272384575429258119e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 4.134663504172014781e-01
8.558978473314432733e+00, 4.430421157596614590e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 5.841612375912467181e-01
8.407014154904759451e+00, 5.613793177083652164e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 7.836633902842906618e-01
8.242049863754896677e+00, 6.643391200692458365e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 1.000000000000000000e+00
8.076904427152701516e+00, 7.318542616255038769e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 1.216336609715709338e+00
7.924496025446778447e+00, 7.493857642445601874e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 1.415838762408753171e+00
7.794137398244126658e+00, 7.141670166034680411e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 1.586533649582798411e+00
7.689836754770059457e+00, 6.343430489497396685e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 1.723464124463156111e+00
7.610976948951604371e+00, 5.223399556649556408e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 1.827739635619072267e+00
7.554313350238761160e+00, 3.866555263593315223e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 1.904044169930654951e+00
7.516390037996238505e+00, 2.227432547129229445e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 1.958266880232111484e+00
7.500000000000000000e+00, 0.000000000000000000e+00, 3.260869565217383581e-01, 1.000000000000000000e+00, 2.000000000000000000e+00
7.516390037996238505e+00, -2.227432547129190588e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 2.041733119767888294e+00
7.554313350238761160e+00, -3.866555263593306202e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 2.095955830069344827e+00
7.610976948951604371e+00, -5.223399556649548081e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 2.172260364380927733e+00
7.689836754770059457e+00, -6.343430489497395297e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 2.276535875536843889e+00
7.794137398244126658e+00, -7.141670166034676248e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 2.413466350417201589e+00
7.924496025446774894e+00, -7.493857642445600487e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 2.584161237591246607e+00
8.076904427152701516e+00, -7.318542616255038769e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 2.783663390284290440e+00
8.242049863754894901e+00, -6.643391200692461140e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 3.000000000000000000e+00
8.407014154904757675e+00, -5.613793177083658409e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 3.216336609715709116e+00
8.558978473314432733e+00, -4.430421157596625692e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 3.415838762408752949e+00
8.688878731264196631e+00, -3.272384575429265058e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 3.586533649582798411e+00
8.793002028707000761e+00, -2.255563470403134513e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 3.723464124463156111e+00
8.872242485875272422e+00, -1.429918029345225022e-02, 3.260869565217383581e-01, 1.000000000000000000e+00, 3.827739635619072267e+00
