Experimental Data from Manometer and Pitot-Static Rake

Data Point #, Motor Speed [RPM], Manometer delta P [dpsi], Ambient Temp.[R], Viscosity [slug/ft s], Ambient Press. [psia], Omega Transmitter delta P [dpsi], RakeT1 [psid],RakeT2 [psid],RakeT3 [psid],RakeT4 [psid],RakeT5 [psid],RakeT6 [psid],RakeT7 [psid],RakeT8 [psid],RakeT9 [psid],RakeS1 [psid],RakeS2 [psid],RakeS3 [psid],RakeS4 [psid],RakeS5 [psid]
1.000000E+0,4.000000E+2,5.599824E-3,5.411700E+2,3.861868E-7,1.416968E+1,5.470237E-3,4.598200E-3,4.580900E-3,4.582500E-3,4.560067E-3,4.571467E-3,4.634867E-3,4.609800E-3,4.563067E-3,4.509800E-3,5.623333E-5,8.000000E-5,5.620000E-5,5.940000E-5,2.236667E-5
2.000000E+0,5.000000E+2,8.851335E-3,5.411700E+2,3.861868E-7,1.416968E+1,8.914859E-3,7.705467E-3,7.690300E-3,7.645000E-3,7.647300E-3,7.701267E-3,7.770700E-3,7.647400E-3,7.679100E-3,7.583667E-3,1.143333E-4,1.845000E-4,8.293333E-5,5.840000E-5,4.343333E-5
3.000000E+0,6.000000E+2,1.307830E-2,5.411700E+2,3.861868E-7,1.416968E+1,1.305821E-2,1.152480E-2,1.141657E-2,1.146200E-2,1.149803E-2,1.152197E-2,1.161097E-2,1.143183E-2,1.142677E-2,1.123087E-2,1.285333E-4,2.119000E-4,8.320000E-5,1.808333E-4,3.136667E-5
4.000000E+0,7.000000E+2,1.817233E-2,5.411700E+2,3.861868E-7,1.416968E+1,1.837519E-2,1.614020E-2,1.598103E-2,1.605740E-2,1.607943E-2,1.613770E-2,1.624460E-2,1.601177E-2,1.608427E-2,1.594863E-2,1.843000E-4,2.988333E-4,1.256667E-4,2.429333E-4,4.370000E-5
5.000000E+0,8.000000E+2,2.402505E-2,5.411700E+2,3.861868E-7,1.416968E+1,2.388186E-2,2.140730E-2,2.124590E-2,2.125890E-2,2.135183E-2,2.144690E-2,2.159613E-2,2.123123E-2,2.131100E-2,2.129517E-2,3.020333E-4,3.990333E-4,1.847000E-4,3.243000E-4,1.063333E-4
6.000000E+0,9.000000E+2,3.052808E-2,5.411700E+2,3.861868E-7,1.416968E+1,3.036353E-2,2.718217E-2,2.705383E-2,2.698860E-2,2.710960E-2,2.720997E-2,2.740243E-2,2.696643E-2,2.707050E-2,2.682643E-2,3.874667E-4,5.446000E-4,2.685333E-4,4.378000E-4,1.381333E-4
7.000000E+0,1.000000E+3,3.829557E-2,5.411700E+2,3.861868E-7,1.416968E+1,3.748458E-2,3.415483E-2,3.394197E-2,3.391827E-2,3.408883E-2,3.422720E-2,3.446443E-2,3.391377E-2,3.403527E-2,3.383980E-2,3.670667E-4,6.260000E-4,2.224667E-4,3.811667E-4,1.191000E-4
8.000000E+0,1.100000E+3,4.624371E-2,5.411700E+2,3.861868E-7,1.416968E+1,4.586805E-2,4.200753E-2,4.173203E-2,4.169853E-2,4.189027E-2,4.206137E-2,4.231400E-2,4.171250E-2,4.187087E-2,4.149457E-2,5.557667E-4,8.573667E-4,3.510667E-4,7.241000E-4,2.225333E-4
9.000000E+0,1.200000E+3,6.033359E-2,5.411700E+2,3.861868E-7,1.416968E+1,5.397793E-2,4.903260E-2,4.885557E-2,4.874590E-2,4.899457E-2,4.918757E-2,4.946550E-2,4.876893E-2,4.895947E-2,4.862853E-2,5.377667E-4,8.919667E-4,2.217667E-4,6.858333E-4,6.293333E-5
1.000000E+1,1.300000E+3,6.430766E-2,5.420700E+2,3.866803E-7,1.416968E+1,6.294288E-2,5.724297E-2,5.687280E-2,5.690150E-2,5.718063E-2,5.739757E-2,5.778750E-2,5.688403E-2,5.705513E-2,5.675620E-2,4.671667E-4,9.194000E-4,-1.350000E-5,7.131000E-4,-1.754000E-4
1.100000E+1,1.400000E+3,7.478475E-2,5.420700E+2,3.866803E-7,1.416968E+1,7.264423E-2,6.634323E-2,6.590203E-2,6.589017E-2,6.621380E-2,6.651633E-2,6.690017E-2,6.585940E-2,6.608570E-2,6.571503E-2,6.011000E-4,1.110800E-3,2.603333E-5,8.774000E-4,-1.566667E-4
