Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-14,-0.9628,0.07963,0.07518,-0.0278,1,0.0399
-13.75,-0.9895,0.07225,0.06762,-0.0322,1,0.0398
-13.5,-1.0148,0.06593,0.0611,-0.0354,1,0.0397
-13.25,-1.0382,0.06063,0.05557,-0.0371,1,0.0396
-13,-1.0594,0.05622,0.0509,-0.0373,1,0.0396
-12.75,-1.0784,0.05255,0.04697,-0.0361,1,0.0397
-12.5,-1.0955,0.04958,0.04371,-0.0335,1,0.0399
-12,-1.1063,0.04365,0.03734,-0.0286,1,0.041
-11.75,-1.0964,0.04195,0.03559,-0.0273,1,0.042
-11.5,-1.0857,0.04034,0.03389,-0.0259,1,0.043
-11.25,-1.077,0.03842,0.03176,-0.0241,1,0.0441
-11,-1.0679,0.03635,0.02942,-0.0222,1,0.0451
-10.75,-1.0569,0.03444,0.02717,-0.0203,1,0.0462
-10.5,-1.0443,0.03262,0.02503,-0.0186,1,0.0474
-10.25,-1.0249,0.03076,0.02323,-0.018,1,0.0492
-10,-1.0066,0.02966,0.02206,-0.0169,1,0.0511
-9.75,-0.9881,0.02844,0.02068,-0.0156,1,0.0532
-9.5,-0.9692,0.02734,0.01932,-0.0143,1,0.055
-9.25,-0.9491,0.02559,0.01762,-0.0135,1,0.0576
-9,-0.929,0.02473,0.01674,-0.0124,1,0.0604
-8.75,-0.9087,0.02387,0.01574,-0.0112,1,0.0635
-8.5,-0.889,0.02252,0.01438,-0.0101,1,0.0667
-8.25,-0.8689,0.02174,0.01362,-0.0089,1,0.0707
-8,-0.8481,0.02113,0.01286,-0.0077,1,0.0749
-7.75,-0.83,0.01996,0.01181,-0.0062,1,0.0799
-7.5,-0.8096,0.01936,0.01114,-0.0049,1,0.0858
-7.25,-0.7919,0.01844,0.01031,-0.0033,1,0.0925
-7,-0.7726,0.01776,0.00961,-0.0018,1,0.1005
-6.75,-0.7535,0.01712,0.009,-0.0003,1,0.1104
-6.5,-0.7351,0.01641,0.00837,0.0013,1,0.1222
-6.25,-0.7162,0.01577,0.00781,0.0028,1,0.1373
-6,-0.6971,0.01517,0.00729,0.0043,1,0.1563
-5.75,-0.6785,0.01455,0.00683,0.0058,1,0.1796
-5.5,-0.6592,0.014,0.00643,0.0073,1,0.2077
-5.25,-0.6396,0.0135,0.00609,0.0086,1,0.2398
-5,-0.6195,0.01306,0.0058,0.0099,1,0.2743
-4.75,-0.599,0.01268,0.00556,0.0111,1,0.3101
-4.5,-0.5783,0.01234,0.00537,0.0123,1,0.3456
-4.25,-0.5572,0.01203,0.00521,0.0134,1,0.3809
-4,-0.5358,0.01176,0.00508,0.0145,1,0.416
-3.75,-0.5139,0.01154,0.00498,0.0155,1,0.4509
-3.5,-0.4915,0.01134,0.00492,0.0164,1,0.4856
-3.25,-0.4689,0.01118,0.00489,0.0172,1,0.5202
-3,-0.4463,0.01104,0.00489,0.018,1,0.5545
-2.75,-0.4236,0.01094,0.00493,0.0188,1,0.5885
-2.5,-0.3942,0.01086,0.00497,0.0183,0.9979,0.6248
-2.25,-0.3513,0.01075,0.00504,0.0152,0.9915,0.6638
-2,-0.3085,0.01066,0.00509,0.0122,0.9843,0.7011
-1.75,-0.2684,0.01056,0.00512,0.01,0.9755,0.7357
-1.5,-0.2255,0.01048,0.00517,0.0072,0.9686,0.7684
-1.25,-0.1861,0.0104,0.00519,0.0054,0.9593,0.7978
-1,-0.1454,0.01034,0.00519,0.0033,0.9509,0.8255
-0.75,-0.1048,0.01028,0.00521,0.0015,0.9424,0.8482
-0.5,-0.07,0.01025,0.00522,0.0009,0.9304,0.8696
-0.25,-0.035,0.01022,0.00521,0.0004,0.9182,0.8886
0,0,0.0102,0.0052,0,0.9046,0.9047
0.25,0.035,0.01022,0.00521,-0.0004,0.8886,0.9182
0.5,0.07,0.01025,0.00522,-0.0009,0.8696,0.9304
0.75,0.1048,0.01028,0.00521,-0.0015,0.8482,0.9424
1,0.1454,0.01034,0.00519,-0.0033,0.8255,0.951
1.25,0.1861,0.0104,0.00518,-0.0054,0.7978,0.9593
1.5,0.2255,0.01048,0.00517,-0.0072,0.7684,0.9686
1.75,0.2684,0.01056,0.00512,-0.01,0.7357,0.9756
2,0.3085,0.01066,0.00509,-0.0122,0.7012,0.9843
2.25,0.3513,0.01075,0.00504,-0.0152,0.6637,0.9915
2.5,0.3942,0.01085,0.00497,-0.0183,0.6249,0.9979
2.75,0.4235,0.01094,0.00492,-0.0188,0.5886,1
3,0.4462,0.01104,0.00489,-0.018,0.5545,1
3.25,0.4689,0.01118,0.00489,-0.0172,0.5202,1
3.5,0.4915,0.01134,0.00492,-0.0163,0.4857,1
3.75,0.5138,0.01153,0.00498,-0.0155,0.4509,1
4,0.5357,0.01176,0.00507,-0.0145,0.416,1
4.25,0.5571,0.01203,0.00521,-0.0134,0.381,1
4.5,0.5782,0.01234,0.00536,-0.0123,0.3456,1
4.75,0.599,0.01268,0.00556,-0.0111,0.3101,1
5,0.6195,0.01306,0.0058,-0.0099,0.2744,1
5.25,0.6395,0.0135,0.00609,-0.0086,0.2398,1
5.5,0.6591,0.014,0.00643,-0.0072,0.2077,1
5.75,0.6784,0.01455,0.00683,-0.0058,0.1796,1
6,0.6971,0.01516,0.00729,-0.0043,0.1563,1
6.25,0.7161,0.01577,0.00781,-0.0028,0.1374,1
6.5,0.7351,0.01641,0.00837,-0.0013,0.1223,1
6.75,0.7535,0.01712,0.009,0.0003,0.1104,1
7,0.7725,0.01776,0.00961,0.0018,0.1005,1
7.25,0.7919,0.01844,0.01031,0.0033,0.0925,1
7.5,0.8096,0.01936,0.01114,0.0049,0.0858,1
7.75,0.83,0.01995,0.01181,0.0062,0.0799,1
8,0.8481,0.02112,0.01285,0.0077,0.0749,1
8.25,0.869,0.02173,0.01362,0.0089,0.0707,1
8.5,0.889,0.02251,0.01438,0.0101,0.0667,1
8.75,0.9087,0.02387,0.01574,0.0112,0.0635,1
9,0.9291,0.02472,0.01674,0.0124,0.0604,1
9.25,0.9492,0.02559,0.01762,0.0135,0.0575,1
9.5,0.9693,0.02734,0.01932,0.0143,0.055,1
9.75,0.9882,0.02844,0.02068,0.0156,0.0532,1
10,1.0067,0.02966,0.02206,0.0168,0.0511,1
10.25,1.0251,0.03077,0.02323,0.0179,0.0492,1
10.5,1.0445,0.03262,0.02503,0.0185,0.0474,1
10.75,1.0571,0.03445,0.02718,0.0203,0.0462,1
11,1.0681,0.03636,0.02942,0.0222,0.0451,1
11.25,1.0773,0.03842,0.03177,0.0241,0.0441,1
11.5,1.086,0.04035,0.0339,0.0258,0.043,1
11.75,1.0969,0.04194,0.03558,0.0272,0.0419,1
12,1.1068,0.04366,0.03735,0.0286,0.041,1
12.25,1.1101,0.04727,0.04108,0.0298,0.0401,1
12.5,1.0959,0.0496,0.04372,0.0334,0.0399,1
12.75,1.079,0.05258,0.047,0.036,0.0397,1
13,1.0599,0.05626,0.05095,0.0372,0.0396,1
13.25,1.0385,0.06069,0.05564,0.0369,0.0396,1
13.5,1.015,0.06603,0.0612,0.0352,0.0396,1
13.75,0.9898,0.07237,0.06774,0.0319,0.0398,1
14,0.9632,0.07976,0.07532,0.0275,0.0399,1
