Alpha,Cl,Cd,Cdp,Cm,Top_Xtr,Bot_Xtr
-9.75,-0.5156,0.10023,0.09673,-0.0016,1,0.0645
-9.5,-0.5214,0.09504,0.09158,-0.0061,1,0.0668
-9,-0.5976,0.07991,0.07619,-0.0242,1,0.0688
-8.75,-0.589,0.07404,0.07042,-0.0241,1,0.0696
-8.5,-0.5746,0.07131,0.06777,-0.023,1,0.0704
-8.25,-0.5652,0.06866,0.06513,-0.0223,1,0.0715
-8,-0.5583,0.06581,0.06225,-0.0221,1,0.0732
-7.75,-0.5552,0.06229,0.05863,-0.0222,1,0.0763
-7.25,-0.5909,0.04245,0.03736,-0.0182,1,0.0599
-7,-0.5731,0.04093,0.03595,-0.0174,1,0.061
-6.75,-0.5791,0.03279,0.02698,-0.0125,1,0.0529
-6.5,-0.5668,0.03086,0.02485,-0.0101,1,0.0539
-6.25,-0.5559,0.02892,0.02266,-0.0073,1,0.0551
-6,-0.5472,0.02694,0.02038,-0.0041,1,0.056
-5.75,-0.5104,0.02429,0.01724,-0.006,0.9938,0.0575
-5.5,-0.4688,0.02212,0.01472,-0.0089,0.9852,0.0603
-5.25,-0.4256,0.02101,0.0136,-0.0122,0.9751,0.0636
-5,-0.3842,0.01977,0.01214,-0.0146,0.9617,0.067
-4.75,-0.3454,0.01845,0.01072,-0.0166,0.9449,0.0711
-4.5,-0.3099,0.0177,0.00993,-0.0178,0.9241,0.0754
-4.25,-0.281,0.01716,0.00922,-0.0173,0.8976,0.0797
-4,-0.2561,0.01627,0.00833,-0.0163,0.8712,0.0848
-3.75,-0.2322,0.01585,0.0078,-0.0149,0.8434,0.0902
-3.5,-0.2088,0.01525,0.00712,-0.0135,0.8174,0.0965
-3.25,-0.1848,0.01493,0.00671,-0.0123,0.7921,0.1039
-3,-0.1612,0.01445,0.00617,-0.0111,0.7692,0.1125
-2.75,-0.1365,0.01416,0.00578,-0.0101,0.7465,0.1232
-2.5,-0.1122,0.01383,0.00541,-0.0092,0.7257,0.1369
-2.25,-0.0881,0.01347,0.00503,-0.0082,0.7066,0.1547
-2,-0.0645,0.01306,0.0047,-0.0073,0.689,0.1814
-1.75,-0.0419,0.01253,0.00438,-0.0063,0.6726,0.2371
-1.5,-0.0402,0.01025,0.00421,-0.001,0.6596,0.7327
-1.25,0.0022,0.01068,0.00493,-0.0013,0.6439,0.9069
-1,0.0434,0.01128,0.00534,-0.0025,0.6291,0.9416
-0.75,0.1083,0.01187,0.00568,-0.009,0.6129,0.9607
-0.5,0.1664,0.01222,0.0058,-0.0147,0.5984,0.9767
-0.25,0.2252,0.01236,0.00575,-0.0208,0.5842,0.9902
0,0.2823,0.01233,0.00557,-0.0269,0.5703,1
