Hydrogen,,,Helium,,,Nitrogen,,,Mystery Tube K,,,Mystery Tube I,,,Mercury Control,,,Mercury Clear Glasses,,,Mercury Sunglasses,,,Incandescant Bulb,,,CFL Bulb,,,Halogen Bulb,
194.216,-121.18,,194.216,-200.43,,194.216,-196.25,,194.216,-212.81,,194.216,-212.52,,194.216,-205.65,,194.216,-162.82,,194.216,-239.68,,194.216,-211.62,,194.216,-222.07,,194.216,-212.67
194.484,-121.18,,194.484,-200.43,,194.484,-196.25,,194.484,-212.81,,194.484,-212.52,,194.484,-205.65,,194.484,-162.82,,194.484,-239.68,,194.484,-211.62,,194.484,-222.07,,194.484,-212.67
194.753,-121.18,,194.753,-200.43,,194.753,-196.25,,194.753,-212.81,,194.753,-212.52,,194.753,-205.65,,194.753,-162.82,,194.753,-239.68,,194.753,-211.62,,194.753,-222.07,,194.753,-212.67
195.022,-115.81,,195.022,-173.56,,195.022,-174.76,,195.022,-196.7,,195.022,-162.37,,195.022,-177,,195.022,-178.94,,195.022,-193.12,,195.022,-188.34,,195.022,-189.83,,195.022,-176.85
195.29,-10.15,,195.29,0.15,,195.29,27.61,,195.29,45.07,,195.29,63.28,,195.29,50.44,,195.29,3.73,,195.29,70.14,,195.29,57.01,,195.29,-21.49,,195.29,102.53
195.559,-11.94,,195.559,18.06,,195.559,9.7,,195.559,70.14,,195.559,11.34,,195.559,12.83,,195.559,14.48,,195.559,11.04,,195.559,14.03,,195.559,34.03,,195.559,77.46
195.827,40,,195.827,-8.81,,195.827,-40.44,,195.827,0.3,,195.827,-20.89,,195.827,30.74,,195.827,5.52,,195.827,64.77,,195.827,-7.46,,195.827,-34.03,,195.827,-8.51
196.096,-1.19,,196.096,23.43,,196.096,7.91,,196.096,-30.15,,196.096,-22.68,,196.096,-44.47,,196.096,7.31,,196.096,-8.66,,196.096,26.56,,196.096,42.98,,196.096,-38.95
196.364,-37.01,,196.364,-58.95,,196.364,7.91,,196.364,52.23,,196.364,5.97,,196.364,-30.15,,196.364,-23.13,,196.364,-6.86,,196.364,-12.83,,196.364,-34.03,,196.364,-31.79
196.633,-42.38,,196.633,34.18,,196.633,25.82,,196.633,-19.4,,196.633,-10.15,,196.633,-31.94,,196.633,64.62,,196.633,23.58,,196.633,53.43,,196.633,100.29,,196.633,64.92
196.901,-53.13,,196.901,-32.09,,196.901,-69.1,,196.901,-82.08,,196.901,-37.01,,196.901,-35.52,,196.901,-69.69,,196.901,-83.87,,196.901,-114.91,,196.901,-57.31,,196.901,-115.96
197.17,82.98,,197.17,52.08,,197.17,6.12,,197.17,11.04,,197.17,115.21,,197.17,-1.49,,197.17,-5.22,,197.17,28.95,,197.17,6.86,,197.17,-19.7,,197.17,88.2
197.438,-33.43,,197.438,-32.09,,197.438,31.19,,197.438,-17.61,,197.438,-85.36,,197.438,14.63,,197.438,-12.39,,197.438,-26.56,,197.438,-45.07,,197.438,-21.49,,197.438,-44.32
197.706,16.71,,197.706,-8.81,,197.706,117.15,,197.706,-15.82,,197.706,-17.31,,197.706,71.93,,197.706,102.23,,197.706,21.79,,197.706,-0.3,,197.706,-1.79,,197.706,81.04
197.975,-11.94,,197.975,-33.88,,197.975,-13.58,,197.975,-12.24,,197.975,27.46,,197.975,-26.56,,197.975,-66.11,,197.975,18.21,,197.975,15.82,,197.975,57.31,,197.975,-3.13
198.243,14.92,,198.243,-17.76,,198.243,-33.28,,198.243,-1.49,,198.243,25.67,,198.243,14.63,,198.243,-7.01,,198.243,-74.92,,198.243,14.03,,198.243,-85.96,,198.243,-94.47
198.512,36.41,,198.512,64.62,,198.512,-49.4,,198.512,45.07,,198.512,7.76,,198.512,25.37,,198.512,-10.6,,198.512,32.53,,198.512,49.85,,198.512,19.7,,198.512,25.52
198.78,14.92,,198.78,68.2,,198.78,99.24,,198.78,45.07,,198.78,25.67,,198.78,-6.86,,198.78,50.29,,198.78,14.63,,198.78,245.05,,198.78,-3.58,,198.78,167
199.048,-13.73,,199.048,-8.81,,199.048,27.61,,199.048,28.95,,199.048,5.97,,199.048,104.17,,199.048,0.15,,199.048,28.95,,199.048,318.48,,199.048,0,,199.048,229.68
199.317,32.83,,199.317,64.62,,199.317,59.84,,199.317,-5.07,,199.317,0.6,,199.317,77.31,,199.317,1.94,,199.317,20,,199.317,350.71,,199.317,64.47,,199.317,321.01
199.585,41.79,,199.585,147,,199.585,52.68,,199.585,36.12,,199.585,66.86,,199.585,82.68,,199.585,30.59,,199.585,131.03,,199.585,418.76,,199.585,53.73,,199.585,303.1
199.853,2.39,,199.853,148.79,,199.853,160.13,,199.853,120.29,,199.853,97.3,,199.853,138.2,,199.853,10.89,,199.853,95.21,,199.853,372.2,,199.853,111.03,,199.853,321.01
200.122,-37.01,,200.122,53.88,,200.122,61.64,,200.122,5.67,,200.122,16.71,,200.122,-57.01,,200.122,62.83,,200.122,75.51,,200.122,354.29,,200.122,30.44,,200.122,333.55
200.39,56.11,,200.39,109.39,,200.39,133.27,,200.39,100.59,,200.39,-10.15,,200.39,41.49,,200.39,77.16,,200.39,18.21,,200.39,359.67,,200.39,46.56,,200.39,319.22
200.658,-78.2,,200.658,-1.64,,200.658,63.43,,200.658,-58.8,,200.658,-20.89,,200.658,-53.43,,200.658,-10.6,,200.658,27.16,,200.658,271.91,,200.658,0,,200.658,245.8
200.926,-19.1,,200.926,28.8,,200.926,99.24,,200.926,71.93,,200.926,45.37,,200.926,62.98,,200.926,35.97,,200.926,39.7,,200.926,237.89,,200.926,5.37,,200.926,337.13
201.195,47.16,,201.195,1.94,,201.195,127.9,,201.195,3.88,,201.195,84.77,,201.195,66.56,,201.195,107.6,,201.195,21.79,,201.195,339.97,,201.195,44.77,,201.195,346.09
201.463,-65.67,,201.463,7.31,,201.463,4.33,,201.463,-24.77,,201.463,5.97,,201.463,68.35,,201.463,-51.79,,201.463,-37.31,,201.463,245.05,,201.463,-44.77,,201.463,274.45
201.731,48.95,,201.731,61.04,,201.731,-31.49,,201.731,-39.1,,201.731,66.86,,201.731,79.1,,201.731,16.27,,201.731,27.16,,201.731,350.71,,201.731,91.33,,201.731,295.94
201.999,91.93,,201.999,34.18,,201.999,90.29,,201.999,32.53,,201.999,129.54,,201.999,34.32,,201.999,14.48,,201.999,5.67,,201.999,307.73,,201.999,14.33,,201.999,258.33
202.267,65.07,,202.267,62.83,,202.267,93.87,,202.267,18.21,,202.267,117,,202.267,100.59,,202.267,-41.04,,202.267,2.09,,202.267,332.8,,202.267,-17.91,,202.267,326.39
