Experimental Data from Manometer and Pitot-Static Rake,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Data Point #, Motor Speed [RPM], Manometer delta P [dpsi], Ambient Temp.[R], Viscosity [slug/ft s], Ambient Press. [psia], Omega Transmitter delta P [dpsi], RakeT1 [psid],RakeT2 [psid],RakeT3 [psid],RakeT4 [psid],RakeT5 [psid],RakeT6 [psid],RakeT7 [psid],RakeT8 [psid],RakeT9 [psid],RakeS1 [psid],RakeS2 [psid],RakeS3 [psid],RakeS4 [psid],RakeS5 [psid],Average Rake Velocity [ft/s],Average Rake q [dpsi]
1.00E+00,4.00E+02,5.60E-03,5.41E+02,3.86E-07,1.42E+01,5.47E-03,4.60E-03,4.58E-03,4.58E-03,4.56E-03,4.57E-03,4.63E-03,4.61E-03,4.56E-03,4.51E-03,5.62E-05,8.00E-05,5.62E-05,5.94E-05,2.24E-05,2.44E+01,4.52E-03
2.00E+00,5.00E+02,8.85E-03,5.41E+02,3.86E-07,1.42E+01,8.91E-03,7.71E-03,7.69E-03,7.65E-03,7.65E-03,7.70E-03,7.77E-03,7.65E-03,7.68E-03,7.58E-03,1.14E-04,1.85E-04,8.29E-05,5.84E-05,4.34E-05,3.15E+01,7.58E-03
3.00E+00,6.00E+02,1.31E-02,5.41E+02,3.86E-07,1.42E+01,1.31E-02,1.15E-02,1.14E-02,1.15E-02,1.15E-02,1.15E-02,1.16E-02,1.14E-02,1.14E-02,1.12E-02,1.29E-04,2.12E-04,8.32E-05,1.81E-04,3.14E-05,3.85E+01,1.13E-02
4.00E+00,7.00E+02,1.82E-02,5.41E+02,3.86E-07,1.42E+01,1.84E-02,1.61E-02,1.60E-02,1.61E-02,1.61E-02,1.61E-02,1.62E-02,1.60E-02,1.61E-02,1.59E-02,1.84E-04,2.99E-04,1.26E-04,2.43E-04,4.37E-05,4.57E+01,1.59E-02
5.00E+00,8.00E+02,2.40E-02,5.41E+02,3.86E-07,1.42E+01,2.39E-02,2.14E-02,2.12E-02,2.13E-02,2.14E-02,2.14E-02,2.16E-02,2.12E-02,2.13E-02,2.13E-02,3.02E-04,3.99E-04,1.85E-04,3.24E-04,1.06E-04,5.26E+01,2.11E-02
6.00E+00,9.00E+02,3.05E-02,5.41E+02,3.86E-07,1.42E+01,3.04E-02,2.72E-02,2.71E-02,2.70E-02,2.71E-02,2.72E-02,2.74E-02,2.70E-02,2.71E-02,2.68E-02,3.87E-04,5.45E-04,2.69E-04,4.38E-04,1.38E-04,5.92E+01,2.67E-02
7.00E+00,1.00E+03,3.83E-02,5.41E+02,3.86E-07,1.42E+01,3.75E-02,3.42E-02,3.39E-02,3.39E-02,3.41E-02,3.42E-02,3.45E-02,3.39E-02,3.40E-02,3.38E-02,3.67E-04,6.26E-04,2.22E-04,3.81E-04,1.19E-04,6.65E+01,3.37E-02
8.00E+00,1.10E+03,4.62E-02,5.41E+02,3.86E-07,1.42E+01,4.59E-02,4.20E-02,4.17E-02,4.17E-02,4.19E-02,4.21E-02,4.23E-02,4.17E-02,4.19E-02,4.15E-02,5.56E-04,8.57E-04,3.51E-04,7.24E-04,2.23E-04,7.36E+01,4.13E-02
9.00E+00,1.20E+03,6.03E-02,5.41E+02,3.86E-07,1.42E+01,5.40E-02,4.90E-02,4.89E-02,4.87E-02,4.90E-02,4.92E-02,4.95E-02,4.88E-02,4.90E-02,4.86E-02,5.38E-04,8.92E-04,2.22E-04,6.86E-04,6.29E-05,7.97E+01,4.85E-02
1.00E+01,1.30E+03,6.43E-02,5.42E+02,3.87E-07,1.42E+01,6.29E-02,5.72E-02,5.69E-02,5.69E-02,5.72E-02,5.74E-02,5.78E-02,5.69E-02,5.71E-02,5.68E-02,4.67E-04,9.19E-04,-1.35E-05,7.13E-04,-1.75E-04,8.63E+01,5.67E-02
1.10E+01,1.40E+03,7.48E-02,5.42E+02,3.87E-07,1.42E+01,7.26E-02,6.63E-02,6.59E-02,6.59E-02,6.62E-02,6.65E-02,6.69E-02,6.59E-02,6.61E-02,6.57E-02,6.01E-04,1.11E-03,2.60E-05,8.77E-04,-1.57E-04,9.29E+01,6.57E-02
